identifier,profile_id,Site name,country code,latitude,longitude,observe,daily obs.
0-246-0-101933,A,Rovaniemi_Apukka,FIN,66.58,26.01,1,288
0-246-0-101976,A,Enontekiö lentoasema,FIN,68.37,23.43,1,288
0-246-0-101986,A,Kittilä lentoasema,FIN,67.71,24.84,1,288
0-246-0-101986,B,Kittilä lentoasema,FIN,67.69,24.86,1,288
0-246-0-101987,A,Kittilä_Kenttärova,FIN,67.99,24.24,1,288
0-246-0-102016,A,Enontekiö Kilpisjärvi Kyläkeskus,FIN,69.04,20.81,1,288
0-246-0-102033,A,Inari Ivalo lentoasema,FIN,68.62,27.43,1,288
0-246-0-102033,B,Inari Ivalo lentoasema,FIN,68.6,27.39,1,288
0-246-0-103786,A,Järvenpää Sorto,FIN,60.5,25.07,1,288
0-246-0-103943,A,Helsinki_Vuosaari_Käärmeniementie,FIN,60.22,25.17,1,288
0-246-0-107201,A,Tervola_Loue,FIN,66.15,24.99,1,288
0-246-0-137188,A,Ilmajoki Seinäjoki Lentoasema,FIN,62.69,22.84,1,288
0-246-0-137188,B,Ilmajoki Seinäjoki Lentoasema,FIN,62.69,22.84,1,288
0-246-0-137190,A,Rovaniemi lentoasema AWOS,FIN,66.55,25.81,1,288
0-246-0-137190,B,Rovaniemi lentoasema AWOS,FIN,66.57,25.85,1,288
0-246-0-137208,A,Jyväskylä lentoasema AWOS,FIN,62.39,25.7,1,288
0-246-0-137208,B,Jyväskylä lentoasema AWOS,FIN,62.41,25.66,1,288
0-246-0-855522,A,Mikkeli lentoasema AWOS,FIN,61.69,27.19,1,288
0-250-0-92040002,A,ISSY-HELIPORT,FRA,48.83,2.28,1,288
0-250-1001-07151,B,PALAISEAU,FRA,48.72,2.21,1,288
0-250-1001-07151,A,PALAISEAU,FRA,48.72,2.21,1,288
0-250-1001-75105006,A,QUALAIR_PARIS,FRA,48.85,2.36,1,288
0-250-1001-75113006,A,LISA-P7,FRA,48.83,2.38,1,288
0-276-0-10303,0,Lingen-Baccum,DEU,52.51,7.41,1,288
0-276-0-10386,A,Berlin_Charlottenburg,DEU,52.51,13.33,1,288
0-276-0-10508,A,Juelich,DEU,50.91,6.41,1,288
0-348-1-56312,A,Szarvas,HUN,46.87,20.53,1,288
0-348-1-57202,A,Szentes,HUN,46.61,20.29,1,288
0-348-1-57311,A,Oroshaza,HUN,46.54,20.69,1,288
0-348-1-63502,A,Folyas,HUN,47.8,21.14,1,288
0-348-1-64310,A,Debrecen,HUN,47.58,21.58,1,288
0-348-1-72618,A,Vasarosnameny,HUN,48.13,22.3,1,288
0-380-5-1,0,SAINT-CHRISTOPHE_AOSTA,ITA,45.74,7.36,1,288
0-380-6-1,A,ROMA Tor Vergata,ITA,41.84,12.65,1,288
0-40-0-1092680,A,Wien-Kendlerstrasse, Austria,48.21,16.31,1,288
0-528-0-06213,A,HKN,NLD,52.7,4.29,1,288
0-528-0-06216,A,HKZA,NLD,52.32,4.04,1,288
0-528-0-06218,A,HKWA,NLD,52.68,3.8,1,288
0-528-0-06233,A,Assendelft,NLD,52.48,4.73,1,288
0-528-0-06236,A,Muiden,NLD,52.33,5.09,1,288
0-528-0-06237,A,Nieuw_Vennep,NLD,52.25,4.65,1,288
0-528-0-06238,A,Nieuwkoop,NLD,52.15,4.76,1,288
0-528-0-06317,A,Borssele_Alfa,NLD,51.7,3.06,1,288
0-56-101-70003,A,Arlon,BEL,49.68,5.82,1,288
0-620-3704-5480,A,EVASO,POR,38.57,-7.91,1,144
0-724-0-08393,A,Base_FAMET_de_ElCopero,ESP,37.31,-6,1,144
0-724-60000-00000000000UV001,A,BurjassotAtmoSphericStation,ESP,39.51,-0.42,1,288
0-724-60000-000000000UGRA001 ,A,Guadiana-UGR,ESP,37.92,-3.23,1,288
0-756-0-BIA,A,Biasca,CHE,46.34,8.98,1,144
0-756-0-RGNOT,A,Nottwil,CHE,47.14,8.13,1,144
0-756-2-ERISWIL,A,Eriswil,CHE,47.07,7.87,1,288
0-826-300-1,A,Capel_Dewi_Atmospheric_Observatory,UK,52.42,-4,1,288
0-826-300-3,A,CHILBOLTON,UK,51.15,-1.44,1,288
0-208-0-06011,A,Tórshavn,DAN,62.02,-6.76,1,144
