identifier;country code;name;latitude;longitude;observe;daily obs.;TTAAii
3499;GBR;NCAS Wind Profiler (UK);52.4;-4.03;1;48;IUPA49
3501;GBR;Aberystwyth;52.42;-4;1;48;IUXN62
3754;GBR;Chilbolton ;51.146;-1.438;1;216;IUXN60 
7453;FRA;Opme_vhf_copdd;45.75;3.09;0;24;IUXN63
7626;FRA;Lannemezan_vhf_p2oa;43.128;0.3668;1;96;IUXN67 
