identifier;country code;name;latitude;longitude;observe;daily obs.;TTAAii
3499;GBR;NCAS Wind Profiler (UK);52.4;-4.03;0;48;IUXN60
07453;FRA;Opme_vhf_copdd;45.75;3.09;0;24;IUXN63
10135;DEU;Nordholz;53.78;8.67;0;48;IUXD62
89571;AUS;Davis;-68.58;77.99;1;48;IUXD85 
7626;FRA;Lannemezan_vhf_p2oa;43.128;0.3668;1;96;IUXN67 
0-20000-0-06632;CHE;GRENCHEN_DWL;47.18;7.42;1;144;IUXD89
0-20000-0-06610;CHE;PAYERNE_DWL;46.81369;6.942547;1;144;IUXD89
0-20000-0-06620;CHE;SCHAFFHAUSEN_DWL;47.689844;8.620125;1;144;IUXD89
0-276-4-14993;DEU;KARLSRUHE_DWL;49.092653;8.425597;1;144;IUXD64
0-276-4-14989;DEU;LINDENBERG_DWL;52.209822;14.128653;1;144;IUXD64
0-276-4-14990;DEU;AACHEN_DWL;50.798645;6.0241;1;144;IUXD64
0-00000-0-00002;DEU;NORDHOLZ_DWL;53.777548;8.667429;1;144;IUXD64
0-276-4-14992;DEU;GARTOW_DWL;53.065769;11.442528;1;144;IUXD64
0-276-4-14991;DEU;FRIESOYTHE_DWL;53.064363;7.902021;1;144;IUXD64
0-20008-0-CES;NLD;CABAUW_DWL;51.96834;4.9292;1;144;IUXD71
0-40-2-002KOL;AUS;KOLSASS_DWL;47.30528;11.62222;1;144;IUXD90
0-40-2-001IAO;AUS;INNSBRUCK_DWL;47.2642;11.38521;1;144;IUXD90
